ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (mm)","Ширина (mm)","Высота (mm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Видимость атрибута 2","Глобальный атрибут 2","Имя атрибута 3","Значение(-я) аттрибута(-ов) 3","Видимость атрибута 3","Глобальный атрибут 3","Имя атрибута 4","Значение(-я) аттрибута(-ов) 4","Видимость атрибута 4","Глобальный атрибут 4","Имя атрибута 5","Значение(-я) аттрибута(-ов) 5","Видимость атрибута 5","Глобальный атрибут 5","Мета: number-meters-packing","Мета: _number-meters-packing","Мета: price-packing","Мета: _price-packing"
223,simple,,"Kronopol Aurum Gusto D4523 Oak Habanero",'-1,0,visible,"<p><br data-mce-bogus=""1""></p>","<h2>Kronopol Aurum Gusto D4523 Oak Habanero</h2>",,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
224,simple,D4523,"Kronopol Aurum Gusto D4523 Oak Habanero",1,0,visible,,"Kronopol Aurum Gusto D4523 Oak Habanero",,,taxable,,1,,,0,0,15,1380,159,8,1,,,2194,Misc,,,"https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D4523-1.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D4523-2.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D4523-3.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D4523-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Gusto Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,1.755,field_60d08a32d849c,1250,field_60f553cc93d58
229,simple,D3328,"Kronopol Aurum Aroma D3328 Дуб Ванилия (Oak Vanilia)",1,0,visible,,"Kronopol Aurum Aroma D3328 Дуб Ванилия (Oak Vanilia)",,,taxable,,1,,,0,0,15,1380,193,10,1,,,2637,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/AROMA-_AURUM_3328.png, https://kronopol.pro/wp-content/uploads/2021/08/AROMA-_AURUM_3328-2.png, https://kronopol.pro/wp-content/uploads/2021/08/AROMA-_AURUM_3328-3.png, https://kronopol.pro/wp-content/uploads/2021/08/AROMA-_AURUM_3328-4.png",,,,,id:236,id:236,,,0,Класс,33класс,1,1,Коллекция,"Aroma Aurum",1,1,Толщина,10мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",6,1,0,1.598,field_60d08a32d849c,1650,field_60f553cc93d58
236,simple,,"Плинтус МДФ Kronopol D3334 (2500*85*16) D3486",1,0,visible,,"Плинтус МДФ Kronopol D3334 (2500*85*16). Подходит для Kronopol D3486",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,"https://kronopol.pro/wp-content/uploads/2021/08/Plintys_VISION-_AURUM_3334.png, https://kronopol.pro/wp-content/uploads/2021/08/AURUM_SENSO_3486-4.png",,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
242,simple,,"Плинтус МДФ Kronopol D3343 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3343 (2500*85*16)",,,taxable,,1,,,0,0,,2500,70,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_VISION-_AURUM_3343.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
246,simple,D3344,"Плинтус МДФ Kronopol D3344 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3344 (2500*85*16)",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_VISION-_AURUM_3344.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
250,simple,,"Плинтус МДФ Kronopol D3347 (2500*85*16)",1,0,visible,,"Плинтус МДФ Kronopol D3347 (2500*85*16)",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_VISION-_AURUM_3347.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
254,simple,,"Плинтус МДФ Kronopol D3879 (2500*85*16)D4580",1,0,visible,,"Плинтус МДФ Kronopol D3879 (2500*85*16) Подходит для Kronopol D4580",,,taxable,,1,,,0,0,,2500,85,16,1,,,879,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Plintys_MDF_VISION-_AURUM_3879.png,,,,,,,,,0,Материал,МДФ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,351,field_60f553cc93d58
257,simple,20,"Плинтус ПВХ Arbiton Indo 20 (2500*70*26)",1,0,visible,,"Плинтус ПВХ Arbiton Indo 20 (2500*70*26).",,,taxable,,1,,,0,0,,2500,70,26,1,,,290,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Arbiton_Indo_20.jpg,,,,,,,,,0,Материал,ПВХ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,116,field_60f553cc93d58
258,simple,01,"Плинтус ПВХ Arbiton Indo 01 (2500*70*26) Белый Глянец",1,0,visible,,"Плинтус ПВХ Arbiton Indo 01 (2500*70*26) Белый Глянец",,,taxable,,1,,,0,0,,2500,70,26,1,,,290,Плинтус,,,https://kronopol.pro/wp-content/uploads/2021/08/Arbiton_Indo_01.jpg,,,,,,,,,0,Материал,ПВХ,1,1,,,,,,,,,,,,,,,,,2.5,field_60d08a32d849c,116,field_60f553cc93d58
